English,Arabic
the,ال
of,ل
and,و
to,ل
in,في
for,ل
is,يكون
on,على
that,الذي - التي
by,بواسطة
this,هذا
with,مع
i,أنا
you,أنت
it,هو - هي
not,لا
or,أو
be,يكون
are,نكون
from,من
at,في
as,مثل
your,لك
all,الجميع
have,يملك
new,جديد
more,أكثر
an,و
was,كان
we,نحن
will,سوف
home,بيت
can,يستطيع
us,نحن
about,عن
if,لو
page,صفحة
my,لي
has,لديه
search,يبحث
free,حر
but,لكن
our,ملكنا
one,واحد
other,آخر
do,يفعل
no,لا
information,معلومة
time,وقت
they,هم
site,موقع
he,هو
up,أعلى
may,يمكن
what,ماذا
which,أيّ
their,هُم
news,أخبار
out,خارج
use,يستخدم
any,أي
there,هناك
see,يرى
only,فقط
so,لذا
his,له
when,متى
contact,اتصال
here,هنا
business,عمل
who,من
web,الويب
also,أيضًا
now,الآن
help,يساعد
get,يحصل
pm,مساءً
view,منظر
online,متصل
c,ج
e,ه
first,أولاً
am,أكون
been,كان
would,كان
how,كيف
were,كان
me,أنا
s,س
services,خدمات
some,بعض
these,هؤلاء
click,انقر
its,إنه
like,يحب
service,خدمة
x,x
than,من
find,يجد
price,سعر
date,تاريخ
back,خلف
top,قمة
people,الناس
had,ملك
list,قائمة
name,اسم
just,فقط
over,زيادة
state,ولاية
year,سنة
day,يوم
into,داخل
email,بريد إلكتروني
two,اثنين
health,صحة
n,ن
world,عالم
re,يكرر
next,التالي
used,مستخدم
go,يذهب
b,ب
work,عمل
last,آخر
most,معظم
products,منتجات
music,موسيقى
buy,يشتري
data,بيانات
make,يصنع
them,هم
should,يجب
product,منتج
system,نظام
post,بريد
her,ها
city,مدينة
t,ر
add,يضيف
policy,سياسة
number,رقم
such,هذه
please,لو سمحت
available,متاح
copyright,حقوق النشر
support,يدعم
message,رسالة
after,بعد
best,أفضل
software,برمجة
then,ثم
jan,يناير
good,جيد
video,فيديو
well,حسنًا
d,د
where,أين
info,معلومات
rights,حقوق
public,عام
books,كتب
high,عالي
school,مدرسة
through,خلال
m,م
each,كل
links,الروابط
she,هي
review,مراجعة
years,سنين
order,طلب
very,جداً
privacy,خصوصية
book,كتاب
items,أغراض
company,شركة
r,ص
read,يقرأ
group,مجموعة
sex,الجنس
need,يحتاج
many,كثير
user,مستخدم
said,قال
de,دي
does,يفعل
set,تعيين
under,تحت
general,عام
research,بحث
university,جامعة
january,يناير
mail,بريد
full,ممتلىء
map,خريطة
reviews,المراجعات
program,برنامج
life,حياة
know,يعرف
games,ألعاب
way,طريق
days,أيام
management,إدارة
p,ص
part,جزء
could,استطاع
great,عظيم
united,متحد
hotel,الفندق
real,حقيقي
f,F
item,غرض
international,دولي
center,مركز
ebay,موقع ئي باي
must,يجب
store,محل
travel,يسافر
comments,تعليقات
made,صنع
development,تطوير
report,تقرير
off,عن
member,عضو
details,تفاصيل
line,خط
terms,شروط
before,قبل
hotels,الفنادق
did,فعل
send,يرسل
right,يمين
type,يكتب
because,لأن
local,محلي
those,أولئك
using,استخدام
results,نتائج
office,مكتب
education,تعليم
national,وطني
car,سيارة
design,تصميم
take,يأخذ
posted,نشر
internet,إنترنت
address,عنوان
community,مجتمع
within,داخل
states,تنص على
area,منطقة
want,يريد
phone,هاتف
dvd,DVD
shipping,شحن
reserved,محجوز
subject,موضوع
between,بين
forum,المنتدى
family,عائلة
l,ل
long,طويل
based,قائم على
w,ث
code,شفرة
show,يعرض
o,س
even,حتى
black,أسود
check,يفحص
special,خاص
prices,الأسعار
website,موقع إلكتروني
index,فِهرِس
being,كون
women,نحيف
much,كثيراً
sign,لافتة
file,ملف
link,وصلة
open,يفتح
today,اليوم
technology,تكنولوجيا
south,جنوب
case,قضية
project,مشروع
same,نفس
pages,الصفحات
uk,المملكة المتحدة
version,إصدار
section,قسم
own,ملك
found,وجد
sports,رياضات
house,منزل
related,متعلق ب
security,حماية
both,كلاهما
g,ز
county,مقاطعة
american,أمريكي
photo,صورة
game,لعبة
members,أعضاء
power,قوة
while,بينما
care,رعاية
network,شبكة
down,تحت
computer,حاسوب
systems,الأنظمة
three,ثلاثة
total,المجموع
place,مكان
end,نهاية
following,التالي
download,تحميل
h,ح
him,له
without,بدون
per,لكل
access,وصول
think,يفكر
north,شمال
resources,موارد
current,حاضِر
posts,دعامات
big,كبير
media,وسائط
law,قانون
control,يتحكم
water,ماء
history,تاريخ
pictures,صور
size,مقاس
art,فن
personal,شخصي
since,منذ
including,مشتمل
guide,مرشد
shop,محل
directory,الدليل
board,سبورة
location,موقع
change,يتغير
white,أبيض
text,نص
small,صغير
rating,تقييم
rate,معدل
government,حكومة
children,أطفال
during,خلال
usa,الولايات المتحدة الأمريكية
return,يعود
students,طلاب
v,الخامس
shopping,التسوق
account,حساب
times,مرات
sites,المواقع
level,مستوى
digital,رقمي
profile,حساب تعريفي
previous,سابق
form,استمارة
events,الأحداث
love,حب
old,قديم
john,جون
main,رئيسي
call,يتصل
hours,ساعات
image,صورة
department,قسم
title,عنوان
description,وصف
non,عدم
k,ك
y,ذ
insurance,تأمين
another,آخر
why,لماذا
shall,سوف
property,ملكية
class,فصل
cd,قرص مضغوط
still,ما زال
money,مال
quality,جودة
every,كل
listing,قائمة
content,محتوى
country,دولة
private,خاص
little,قليل
visit,يزور
save,يحفظ
tools,أدوات
low,قليل
reply,رد
customer,عميل
december,ديسمبر
compare,يقارن
movies,أفلام
include,يشمل
college,كلية
value,قيمة
article,شرط
york,يورك
man,رجل
card,بطاقة
jobs,وظائف
provide,يمد
j,ي
food,طعام
source,مصدر
author,مؤلف
different,مختلف
press,يضعط
u,ش
learn,يتعلم
sale,أُوكَازيُون
around,حول
print,مطبعة
course,دورة
job,وظيفة
canada,كندا
process,عملية
teen,في سن المراهقة
room,غرفة
stock,مخزون
training,تمرين
too,أيضاً
credit,ائتمان
point,نقطة
join,ينضم
science,علوم
men,رجال
categories,فئات
advanced,متقدم
west,الغرب
sales,مبيعات
look,ينظر
english,إنجليزي
left,غادر
team,فريق
estate,ملكية
box,صندوق
conditions,شروط
select,يختار
windows,شبابيك
photos,الصور
gay,مثلي الجنس
thread,خيط
week,أسبوع
category,فئة
note,ملحوظة
live,يعيش
large,كبير
gallery,صالة عرض
table,طاولة
register,يسجل
however,لكن
june,يونيو
october,اكتوبر
november,شهر نوفمبر
market,سوق
library,مكتبة
